"Ecosystem Name","Country","Ecosystem Functional Group","Threat","Threat Bounds","Trigger","Area","Assessment System","Source","Reference"
"1.A.1.Ea.134 - Caribbean Coastal Lowland Dry Forest","Virgin Islands","T1.2","EN","EN -- CR","A1, A3, D2b",35950.6755,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.1.Ea.134 - Caribbean Coastal Lowland Dry Forest","United States","T1.2","EN","EN -- CR","A1, A3, D2b",35950.6755,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.1.Ea.134 - Caribbean Coastal Lowland Dry Forest","Turks and Caicas Islands","T1.2","EN","EN -- CR","A1, A3, D2b",35950.6755,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.1.Ea.134 - Caribbean Coastal Lowland Dry Forest","Trinidad and Tobago","T1.2","EN","EN -- CR","A1, A3, D2b",35950.6755,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.1.Ea.134 - Caribbean Coastal Lowland Dry Forest","Sint Maarten","T1.2","EN","EN -- CR","A1, A3, D2b",35950.6755,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.1.Ea.134 - Caribbean Coastal Lowland Dry Forest","Saint Vincent and the Grenadines","T1.2","EN","EN -- CR","A1, A3, D2b",35950.6755,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.1.Ea.134 - Caribbean Coastal Lowland Dry Forest","Saint Martin","T1.2","EN","EN -- CR","A1, A3, D2b",35950.6755,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.1.Ea.134 - Caribbean Coastal Lowland Dry Forest","Saint Lucia","T1.2","EN","EN -- CR","A1, A3, D2b",35950.6755,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.1.Ea.134 - Caribbean Coastal Lowland Dry Forest","Saint Kitts and Nevis","T1.2","EN","EN -- CR","A1, A3, D2b",35950.6755,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.1.Ea.134 - Caribbean Coastal Lowland Dry Forest","Saint Barthélemy","T1.2","EN","EN -- CR","A1, A3, D2b",35950.6755,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.1.Ea.134 - Caribbean Coastal Lowland Dry Forest","Puerto Rico","T1.2","EN","EN -- CR","A1, A3, D2b",35950.6755,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.1.Ea.134 - Caribbean Coastal Lowland Dry Forest","Montserrat","T1.2","EN","EN -- CR","A1, A3, D2b",35950.6755,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.1.Ea.134 - Caribbean Coastal Lowland Dry Forest","Martinique","T1.2","EN","EN -- CR","A1, A3, D2b",35950.6755,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
