PISO,ID,Ecological System,Macrogroup code,MG Name,Division code,Division Name,Formation,Subclass,Class
Estepa mediterranea-templada de Festuca pallescens y Mulinum spinosum,123,603.188,M750,Patagonian Mesic Grassland & Shrubland,D144,Patagonian Grassland & Shrubland,Temperate Grassland & Shrubland,Temperate & Boreal Grassland & Shrubland,Shrub & Herb Vegetation
Estepa mediterranea-templada oriental de Festuca gracillima,124,603.188,M750,Patagonian Mesic Grassland & Shrubland,D144,Patagonian Grassland & Shrubland,Temperate Grassland & Shrubland,Temperate & Boreal Grassland & Shrubland,Shrub & Herb Vegetation
Estepa templada oriental de Festuca gracillima y Chiliotrichum diffusum,126,603.188,M750,Patagonian Mesic Grassland & Shrubland,D144,Patagonian Grassland & Shrubland,Temperate Grassland & Shrubland,Temperate & Boreal Grassland & Shrubland,Shrub & Herb Vegetation
Estepa templada oriental de Festuca gracillima y Empetrum rubrum,125,603.188,M750,Patagonian Mesic Grassland & Shrubland,D144,Patagonian Grassland & Shrubland,Temperate Grassland & Shrubland,Temperate & Boreal Grassland & Shrubland,Shrub & Herb Vegetation
Estepa templada oriental de Festuca gracillima y Mulinum spinosum,127,603.188,M750,Patagonian Mesic Grassland & Shrubland,D144,Patagonian Grassland & Shrubland,Temperate Grassland & Shrubland,Temperate & Boreal Grassland & Shrubland,Shrub & Herb Vegetation
Bosque caducifolio mediterraneo-templado costero de Nothofagus obliqua y Gomortega keule,52,603.191,M653,Central Chilean (Mediterranean) Deciduous Forest,D239,Chilean Mediterranean Forest,Warm Temperate Forest & Woodland,Temperate & Boreal Forest & Woodland,Forest & Woodland
Bosque caducifolio mediterraneo andino de Nothofagus glauca y N. obliqua,51,603.191,M653,Central Chilean (Mediterranean) Deciduous Forest,D239,Chilean Mediterranean Forest,Warm Temperate Forest & Woodland,Temperate & Boreal Forest & Woodland,Forest & Woodland
Bosque caducifolio mediterraneo andino de Nothofagus obliqua y Austrocedrus chilensis,48,603.191,M653,Central Chilean (Mediterranean) Deciduous Forest,D239,Chilean Mediterranean Forest,Warm Temperate Forest & Woodland,Temperate & Boreal Forest & Woodland,Forest & Woodland
Bosque caducifolio mediterraneo costero de Nothofagus glauca y Azara petiolaris,49,603.191,M653,Central Chilean (Mediterranean) Deciduous Forest,D239,Chilean Mediterranean Forest,Warm Temperate Forest & Woodland,Temperate & Boreal Forest & Woodland,Forest & Woodland
Bosque caducifolio mediterraneo costero de Nothofagus glauca y Persea lingue,50,603.191,M653,Central Chilean (Mediterranean) Deciduous Forest,D239,Chilean Mediterranean Forest,Warm Temperate Forest & Woodland,Temperate & Boreal Forest & Woodland,Forest & Woodland
Bosque caducifolio mediterraneo costero de Nothofagus macrocarpa y Ribes punctatum,46,601.017,M653,Central Chilean (Mediterranean) Deciduous Forest,D239,Chilean Mediterranean Forest,Warm Temperate Forest & Woodland,Temperate & Boreal Forest & Woodland,Forest & Woodland
Bosque caducifolio mediterraneo interior de Nothofagus obliqua y Cryptocarya alba,47,603.191,M653,Central Chilean (Mediterranean) Deciduous Forest,D239,Chilean Mediterranean Forest,Warm Temperate Forest & Woodland,Temperate & Boreal Forest & Woodland,Forest & Woodland
Bosque esclerofilo mediterraneo andino de Kageneckia angustifolia y Guindilia trinervis,38,601.019,M652,Central Chilean (Mediterranean) Sclerophyllous Forest,D239,Chilean Mediterranean Forest,Warm Temperate Forest & Woodland,Temperate & Boreal Forest & Woodland,Forest & Woodland
Bosque esclerofilo mediterraneo andino de Lithrea caustica y Lomatia hirsuta,44,601.004,M652,Central Chilean (Mediterranean) Sclerophyllous Forest,D239,Chilean Mediterranean Forest,Warm Temperate Forest & Woodland,Temperate & Boreal Forest & Woodland,Forest & Woodland
Bosque esclerofilo mediterraneo andino de Quillaja saponaria y Lithrea caustica,41,601.021,M652,Central Chilean (Mediterranean) Sclerophyllous Forest,D239,Chilean Mediterranean Forest,Warm Temperate Forest & Woodland,Temperate & Boreal Forest & Woodland,Forest & Woodland
Bosque esclerofilo mediterraneo costero de Cryptocarya alba y Peumus boldus,39,601.02,M652,Central Chilean (Mediterranean) Sclerophyllous Forest,D239,Chilean Mediterranean Forest,Warm Temperate Forest & Woodland,Temperate & Boreal Forest & Woodland,Forest & Woodland
Bosque esclerofilo mediterraneo costero de Lithrea caustica y Azara integrifolia,42,601.02,M652,Central Chilean (Mediterranean) Sclerophyllous Forest,D239,Chilean Mediterranean Forest,Warm Temperate Forest & Woodland,Temperate & Boreal Forest & Woodland,Forest & Woodland
Bosque esclerofilo mediterraneo costero de Lithrea caustica y Cryptocarya alba,40,601.015,M652,Central Chilean (Mediterranean) Sclerophyllous Forest,D239,Chilean Mediterranean Forest,Warm Temperate Forest & Woodland,Temperate & Boreal Forest & Woodland,Forest & Woodland
Bosque esclerofilo mediterraneo interior de Lithrea caustica y Peumus boldus,43,601.021,M652,Central Chilean (Mediterranean) Sclerophyllous Forest,D239,Chilean Mediterranean Forest,Warm Temperate Forest & Woodland,Temperate & Boreal Forest & Woodland,Forest & Woodland
Bosque esclerofilo psamofilo mediterraneo interior de Quillaja saponaria y Fabiana imbricata,45,601.003,M652,Central Chilean (Mediterranean) Sclerophyllous Forest,D239,Chilean Mediterranean Forest,Warm Temperate Forest & Woodland,Temperate & Boreal Forest & Woodland,Forest & Woodland
Bosque espinoso de mediterraneo andino Acacia caven y Baccharis paniculata,33,601.001,M652,Central Chilean (Mediterranean) Sclerophyllous Forest,D239,Chilean Mediterranean Forest,Warm Temperate Forest & Woodland,Temperate & Boreal Forest & Woodland,Forest & Woodland
Bosque espinoso mediterraneo costero de Acacia caven y Maytenus boaria,34,601.001,M652,Central Chilean (Mediterranean) Sclerophyllous Forest,D239,Chilean Mediterranean Forest,Warm Temperate Forest & Woodland,Temperate & Boreal Forest & Woodland,Forest & Woodland
Bosque espinoso mediterraneo interior de Acacia caven y Lithrea caustica,35,601.001,M652,Central Chilean (Mediterranean) Sclerophyllous Forest,D239,Chilean Mediterranean Forest,Warm Temperate Forest & Woodland,Temperate & Boreal Forest & Woodland,Forest & Woodland
Bosque espinoso mediterraneo interior de Acacia caven y Prosopis chilensis,32,601.001,M652,Central Chilean (Mediterranean) Sclerophyllous Forest,D239,Chilean Mediterranean Forest,Warm Temperate Forest & Woodland,Temperate & Boreal Forest & Woodland,Forest & Woodland
Bosque caducifolio mediterraneo-templado andino de Nothofagus alpina y N. obliqua,57,603.177,M657,Valdivian Montane & Upper Montane Deciduous Forest,D241,Valdivian Cool Temperate Forest,Cool Temperate Forest & Woodland,Temperate & Boreal Forest & Woodland,Forest & Woodland
Bosque caducifolio mediterraneo-templado andino de Nothofagus pumilio y N. obliqua,60,603.182,M657,Valdivian Montane & Upper Montane Deciduous Forest,D241,Valdivian Cool Temperate Forest,Cool Temperate Forest & Woodland,Temperate & Boreal Forest & Woodland,Forest & Woodland
Bosque caducifolio templado-antiboreal andino de Nothofagus pumilio y Maytenus disticha,67,603.182,M657,Valdivian Montane & Upper Montane Deciduous Forest,D241,Valdivian Cool Temperate Forest,Cool Temperate Forest & Woodland,Temperate & Boreal Forest & Woodland,Forest & Woodland
Bosque caducifolio templado andino de Nothofagus alpina y Dasyphyllum diacanthoides,58,603.177,M657,Valdivian Montane & Upper Montane Deciduous Forest,D241,Valdivian Cool Temperate Forest,Cool Temperate Forest & Woodland,Temperate & Boreal Forest & Woodland,Forest & Woodland
Bosque caducifolio templado andino de Nothofagus alpina y N. dombeyi,59,603.177,M657,Valdivian Montane & Upper Montane Deciduous Forest,D241,Valdivian Cool Temperate Forest,Cool Temperate Forest & Woodland,Temperate & Boreal Forest & Woodland,Forest & Woodland
Bosque caducifolio templado andino de Nothofagus pumilio y Araucaria araucana,61,603.19,M658,Valdivian Montane & Upper Montane Evergreen Forest,D241,Valdivian Cool Temperate Forest,Cool Temperate Forest & Woodland,Temperate & Boreal Forest & Woodland,Forest & Woodland
Bosque caducifolio templado andino de Nothofagus pumilio y Azara alpina,64,603.184,M657,Valdivian Montane & Upper Montane Deciduous Forest,D241,Valdivian Cool Temperate Forest,Cool Temperate Forest & Woodland,Temperate & Boreal Forest & Woodland,Forest & Woodland
Bosque caducifolio templado andino de Nothofagus pumilio y Berberis ilicifolia,63,603.182,M657,Valdivian Montane & Upper Montane Deciduous Forest,D241,Valdivian Cool Temperate Forest,Cool Temperate Forest & Woodland,Temperate & Boreal Forest & Woodland,Forest & Woodland
Bosque caducifolio templado andino de Nothofagus pumilio y Chiliotrichum diffusum,66,603.182,M657,Valdivian Montane & Upper Montane Deciduous Forest,D241,Valdivian Cool Temperate Forest,Cool Temperate Forest & Woodland,Temperate & Boreal Forest & Woodland,Forest & Woodland
